"apgcode","occurrences"
"gun_7253","31620"
"gun_7333","31603"
"gun_6983","31584"
"gun_7103","31584"
"gun_8929","31515"
"gun_8941","31515"
"gun_9011","31515"
"gun_6373","31506"
"gun_2339","31504"
"gun_3583","31504"
"gun_3701","31504"
"gun_6199","31500"
"gun_6217","31494"
"gun_7069","31450"
"gun_7213","31434"
"gun_6317","31329"
"gun_3659","31325"
"gun_6203","31325"
"gun_8863","31324"
"gun_8887","31324"
"gun_8893","31324"
"gun_8933","31324"
"gun_8963","31324"
"gun_8971","31324"
"gun_7237","31248"
"gun_7039","31229"
"gun_8839","31160"
"gun_3559","31150"
"gun_3677","31150"
"gun_6143","31140"
"gun_6301","30976"
"gun_3643","30972"
"gun_8807","30970"
"gun_8831","30970"
"gun_8849","30970"
"gun_8861","30970"
"gun_8923","30970"
"gun_2297","30912"
"gun_7109","30895"
"gun_6211","30800"
"gun_6269","30800"
"gun_6277","30800"
"gun_6131","30798"
"gun_6151","30798"
"gun_6163","30798"
"gun_6121","30780"
"gun_8761","30780"
"gun_8821","30780"
"gun_8837","30780"
"gun_8867","30780"
"gun_2281","30728"
"gun_2539","30728"
"gun_3527","30621"
"gun_6079","30609"
"gun_6113","30609"
"gun_2531","30561"
"gun_8647","30456"
"gun_3637","30450"
"gun_6221","30450"
"gun_6229","30450"
"gun_6067","30448"
"gun_6089","30430"
"gun_8713","30429"
"gun_8737","30429"
"gun_8753","30429"
"gun_8803","30429"
"gun_8819","30429"
"gun_6091","30275"
"gun_6197","30275"
"gun_3511","30272"
"gun_6011","30272"
"gun_6043","30272"
"gun_8599","30268"
"gun_6047","30260"
"gun_8663","30240"
"gun_8681","30240"
"gun_8689","30240"
"gun_8741","30240"
"gun_8747","30240"
"gun_8779","30240"
"gun_3613","30102"
"gun_3571","30100"
"gun_3529","30090"
"gun_6073","30090"
"gun_6173","29928"
"gun_2591","29925"
"gun_3547","29925"
"gun_8543","29920"
"gun_6007","29913"
"gun_8623","29892"
"gun_8641","29892"
"gun_8669","29892"
"gun_8677","29892"
"gun_8693","29892"
"gun_8699","29892"
"gun_8707","29892"
"gun_8731","29892"
"gun_5987","29756"
"gun_2267","29754"
"gun_3539","29754"
"gun_5939","29754"
"gun_6133","29754"
"gun_8609","29704"
"gun_8629","29704"
"gun_3581","29584"
"gun_3499","29580"
"gun_8447","29574"
"gun_8527","29546"
"gun_5923","29412"
"gun_2243","29410"
"gun_2251","29410"
"gun_3491","29410"
"gun_6101","29410"
"gun_8513","29359"
"gun_8521","29359"
"gun_8537","29359"
"gun_8573","29359"
"gun_8581","29359"
"gun_8597","29359"
"gun_8627","29359"
"gun_5867","29240"
"gun_3467","29237"
"gun_5851","29237"
"gun_8311","29230"
"gun_5953","29216"
"gun_8431","29202"
"gun_8563","29172"
"gun_8263","29072"
"gun_3557","29070"
"gun_5843","29068"
"gun_5927","29058"
"gun_3457","29040"
"gun_8423","29016"
"gun_3533","28899"
"gun_3541","28899"
"gun_4603","28899"
"gun_2543","28896"
"gun_6029","28896"
"gun_6037","28896"
"gun_6053","28896"
"gun_5903","28884"
"gun_3449","28875"
"gun_5879","28875"
"gun_5897","28864"
"gun_8369","28860"
"gun_8461","28830"
"gun_8501","28830"
"gun_8539","28830"
"gun_8167","28731"
"gun_5827","28730"
"gun_5779","28728"
"gun_3407","28710"
"gun_8287","28675"
"gun_8377","28644"
"gun_8429","28644"
"gun_8467","28644"
"gun_3517","28560"
"gun_3433","28536"
"gun_5881","28536"
"gun_5801","28525"
"gun_5857","28525"
"gun_8273","28520"
"gun_8353","28490"
"gun_4547","28392"
"gun_2203","28390"
"gun_5683","28390"
"gun_5981","28386"
"gun_3391","28372"
"gun_5839","28372"
"gun_8111","28365"
"gun_5849","28362"
"gun_8191","28336"
"gun_8231","28336"
"gun_8329","28305"
"gun_8389","28305"
"gun_8419","28305"
"gun_8443","28305"
"gun_4507","28223"
"gun_3371","28220"
"gun_5659","28220"
"gun_5807","28199"
"gun_5737","28188"
"gun_5791","28188"
"gun_8297","28120"
"gun_8317","28120"
"gun_8363","28120"
"gun_8387","28120"
"gun_4523","28056"
"gun_2179","28054"
"gun_5651","28054"
"gun_5783","28026"
"gun_8209","27968"
"gun_4483","27888"
"gun_2237","27885"
"gun_3469","27885"
"gun_5563","27885"
"gun_7927","27874"
"gun_3359","27864"
"gun_4567","27864"
"gun_3361","27853"
"gun_8081","27846"
"gun_8087","27816"
"gun_8161","27816"
"gun_8233","27784"
"gun_8269","27784"
"gun_8293","27784"
"gun_4451","27722"
"gun_3331","27720"
"gun_3347","27720"
"gun_7879","27720"
"gun_5869","27710"
"gun_7919","27693"
"gun_3343","27692"
"gun_5743","27692"
"gun_8039","27664"
"gun_8221","27600"
"gun_8237","27600"
"gun_8291","27600"
"gun_3307","27552"
"gun_3323","27552"
"gun_3461","27552"
"gun_5531","27552"
"gun_9907","27547"
"gun_3329","27520"
"gun_4457","27520"
"gun_4481","27520"
"gun_4561","27520"
"gun_5641","27520"
"gun_7951","27512"
"gun_8243","27450"
"gun_3299","27388"
"gun_2221","27384"
"gun_4637","27378"
"gun_5861","27378"
"gun_4519","27360"
"gun_5711","27360"
"gun_7823","27360"
"gun_7937","27331"
"gun_8017","27300"
"gun_8117","27300"
"gun_8219","27267"
"gun_4363","27224"
"gun_5483","27224"
"gun_4621","27209"
"gun_5813","27209"
"gun_5821","27209"
"gun_3319","27200"
"gun_2153","27189"
"gun_3313","27189"
"gun_4409","27189"
"gun_4513","27189"
"gun_5521","27189"
"gun_5657","27189"
"gun_5689","27189"
"gun_2477","27161"
"gun_8009","27118"
"gun_8069","27118"
"gun_8147","27118"
"gun_8089","27084"
"gun_8171","27084"
"gun_8179","27084"
"gun_5507","27060"
"gun_2131","27058"
"gun_7687","27056"
"gun_2213","27054"
"gun_7727","27029"
"gun_7841","27000"
"gun_8059","26969"
"gun_8101","26936"
"gun_4339","26895"
"gun_5419","26895"
"gun_2447","26892"
"gun_3259","26892"
"gun_3413","26887"
"gun_4597","26880"
"gun_7639","26878"
"gun_2137","26860"
"gun_4441","26860"
"gun_5569","26860"
"gun_5647","26860"
"gun_7759","26850"
"gun_7793","26850"
"gun_7873","26820"
"gun_8011","26788"
"gun_7993","26754"
"gun_8053","26754"
"gun_8093","26754"
"gun_8123","26754"
