"apgcode","occurrences"
"guntrue_3527","15730"
"guntrue_3559","15730"
"guntrue_6733","15707"
"guntrue_6679","15694"
"guntrue_6823","15694"
"guntrue_8951","15694"
"guntrue_9203","15660"
"guntrue_4013","15624"
"guntrue_4051","15624"
"guntrue_4079","15624"
"guntrue_4139","15624"
"guntrue_5471","15624"
"guntrue_5557","15624"
"guntrue_2579","15621"
"guntrue_6653","15594"
"guntrue_3067","15576"
"guntrue_3083","15576"
"guntrue_3089","15576"
"guntrue_7307","15576"
"guntrue_7549","15576"
"guntrue_8527","15576"
"guntrue_9533","15576"
"guntrue_9613","15576"
"guntrue_9643","15576"
"guntrue_9883","15576"
"guntrue_9173","15568"
"guntrue_2137","15561"
"guntrue_4871","15561"
"guntrue_6673","15561"
"guntrue_6689","15561"
"guntrue_6737","15561"
"guntrue_2243","15500"
"guntrue_3917","15500"
"guntrue_5231","15500"
"guntrue_5279","15500"
"guntrue_2689","15498"
"guntrue_5051","15498"
"guntrue_5449","15498"
"guntrue_8059","15498"
"guntrue_8219","15498"
"guntrue_8269","15498"
"guntrue_8353","15498"
"guntrue_8369","15498"
"guntrue_8377","15498"
"guntrue_2399","15494"
"guntrue_5623","15494"
"guntrue_8087","15494"
"guntrue_2381","15488"
"guntrue_3571","15480"
"guntrue_4793","15480"
"guntrue_4801","15480"
"guntrue_8839","15444"
"guntrue_9151","15444"
"guntrue_2141","15429"
"guntrue_9277","15429"
"guntrue_6779","15410"
"guntrue_9091","15410"
"guntrue_4099","15375"
"guntrue_5477","15375"
"guntrue_5501","15375"
"guntrue_2693","15372"
"guntrue_5393","15372"
"guntrue_5441","15372"
"guntrue_8101","15372"
"guntrue_5939","15368"
"guntrue_5987","15368"
"guntrue_5227","15344"
"guntrue_3023","15327"
"guntrue_3049","15327"
"guntrue_7079","15327"
"guntrue_7243","15327"
"guntrue_7247","15327"
"guntrue_7333","15327"
"guntrue_7411","15327"
"guntrue_7417","15327"
"guntrue_7451","15327"
"guntrue_7457","15327"
"guntrue_7507","15327"
"guntrue_7523","15327"
"guntrue_9791","15327"
"guntrue_9817","15327"
"guntrue_9871","15327"
"guntrue_8191","15318"
"guntrue_2129","15312"
"guntrue_4783","15312"
"guntrue_4799","15312"
"guntrue_4831","15312"
"guntrue_3413","15260"
"guntrue_7853","15255"
"guntrue_7933","15255"
"guntrue_3779","15252"
"guntrue_3877","15252"
"guntrue_2539","15250"
"guntrue_8273","15250"
"guntrue_8297","15250"
"guntrue_8329","15250"
"guntrue_2677","15246"
"guntrue_3769","15246"
"guntrue_7919","15246"
"guntrue_8093","15246"
"guntrue_2341","15240"
"guntrue_2357","15240"
"guntrue_2383","15240"
"guntrue_7591","15240"
"guntrue_3511","15232"
"guntrue_3539","15232"
"guntrue_3547","15232"
"guntrue_4721","15232"
"guntrue_4729","15232"
"guntrue_8837","15232"
"guntrue_8623","15196"
"guntrue_8831","15196"
"guntrue_3373","15180"
"guntrue_8867","15180"
"guntrue_9187","15162"
"guntrue_9811","15162"
"guntrue_3389","15151"
"guntrue_5297","15142"
"guntrue_7583","15142"
"guntrue_7873","15142"
"guntrue_4003","15128"
"guntrue_5413","15128"
"guntrue_2531","15125"
"guntrue_2657","15125"
"guntrue_4007","15120"
"guntrue_3793","15096"
"guntrue_5179","15096"
"guntrue_6637","15096"
"guntrue_8941","15096"
"guntrue_2999","15080"
"guntrue_3019","15080"
"guntrue_3041","15080"
"guntrue_7127","15080"
"guntrue_7213","15080"
"guntrue_7297","15080"
"guntrue_7321","15080"
"guntrue_7351","15080"
"guntrue_7393","15080"
"guntrue_7433","15080"
"guntrue_7459","15080"
"guntrue_9437","15080"
"guntrue_9547","15080"
"guntrue_9649","15080"
"guntrue_9743","15080"
"guntrue_9787","15080"
"guntrue_8039","15070"
"guntrue_8111","15070"
"guntrue_9157","15070"
"guntrue_2113","15065"
"guntrue_4649","15065"
"guntrue_4759","15065"
"guntrue_6481","15065"
"guntrue_6529","15065"
"guntrue_6577","15065"
"guntrue_6599","15065"
"guntrue_2203","15048"
"guntrue_8971","15048"
"guntrue_7793","15029"
"guntrue_9781","15012"
"guntrue_5827","15008"
"guntrue_5981","15008"
"guntrue_8317","15008"
"guntrue_8389","15008"
"guntrue_3739","15006"
"guntrue_4027","15006"
"guntrue_5167","15006"
"guntrue_5437","15006"
"guntrue_7883","15004"
"guntrue_7963","15004"
"guntrue_8123","15004"
"guntrue_8209","15004"
"guntrue_8233","15004"
"guntrue_2351","15000"
"guntrue_2309","14994"
"guntrue_2333","14994"
"guntrue_6709","14960"
"guntrue_3391","14950"
"guntrue_8719","14950"
"guntrue_3407","14934"
"guntrue_6763","14916"
"guntrue_9283","14916"
"guntrue_9803","14916"
"guntrue_9677","14904"
"guntrue_5209","14896"
"guntrue_3931","14883"
"guntrue_4019","14883"
"guntrue_5303","14883"
"guntrue_2633","14880"
"guntrue_5923","14874"
"guntrue_7727","14874"
"guntrue_3761","14850"
"guntrue_5171","14850"
"guntrue_7879","14850"
"guntrue_8933","14850"
"guntrue_3001","14835"
"guntrue_3011","14835"
"guntrue_7283","14835"
"guntrue_7369","14835"
"guntrue_9539","14835"
"guntrue_9619","14835"
"guntrue_9721","14835"
"guntrue_9749","14835"
"guntrue_9829","14835"
"guntrue_9859","14835"
"guntrue_9923","14835"
"guntrue_6781","14824"
"guntrue_2089","14820"
"guntrue_4673","14820"
"guntrue_4703","14820"
"guntrue_4751","14820"
"guntrue_6229","14820"
"guntrue_6277","14820"
"guntrue_6451","14820"
"guntrue_6473","14820"
"guntrue_6521","14820"
"guntrue_6553","14820"
"guntrue_6569","14820"
"guntrue_8963","14803"
"guntrue_6397","14763"
"guntrue_7757","14763"
"guntrue_8237","14763"
"guntrue_5207","14762"
"guntrue_5381","14762"
"guntrue_2377","14760"
"guntrue_2393","14760"
"guntrue_2617","14760"
"guntrue_8089","14760"
"guntrue_8161","14760"
"guntrue_7823","14756"
"guntrue_5861","14750"
"guntrue_8821","14740"
"guntrue_6701","14715"
"guntrue_7951","14715"
"guntrue_3359","14706"
"guntrue_6719","14706"
"guntrue_6791","14706"
"guntrue_9127","14706"
"guntrue_1913","14679"
"guntrue_2179","14672"
"guntrue_6827","14672"
"guntrue_9067","14672"
"guntrue_3853","14640"
"guntrue_3923","14640"
"guntrue_5309","14640"
"guntrue_2521","14637"
"guntrue_2609","14637"
"guntrue_4789","14630"
"guntrue_5867","14630"
"guntrue_6469","14630"
"guntrue_8081","14630"
"guntrue_1879","14592"
"guntrue_2957","14592"
"guntrue_2971","14592"
"guntrue_7193","14592"
"guntrue_7219","14592"
"guntrue_7237","14592"
"guntrue_7253","14592"
"guntrue_7309","14592"
"guntrue_7331","14592"
"guntrue_9421","14592"
"guntrue_9473","14592"
"guntrue_9661","14592"
"guntrue_9767","14592"
"guntrue_9851","14592"
"guntrue_9857","14592"
"guntrue_9887","14592"
"guntrue_9901","14592"
"guntrue_9931","14592"
"guntrue_2081","14577"
"guntrue_4663","14577"
"guntrue_4679","14577"
"guntrue_4691","14577"
"guntrue_4723","14577"
"guntrue_6173","14577"
"guntrue_6221","14577"
"guntrue_6269","14577"
"guntrue_6299","14577"
"guntrue_6317","14577"
"guntrue_6359","14577"
"guntrue_6427","14577"
"guntrue_6449","14577"
"guntrue_6491","14577"
"guntrue_3301","14552"
"guntrue_5113","14541"
"guntrue_7487","14541"
"guntrue_3691","14520"
"guntrue_3821","14520"
"guntrue_3947","14520"
"guntrue_4733","14520"
"guntrue_5741","14520"
"guntrue_6389","14520"
"guntrue_7639","14520"
"guntrue_7669","14520"
"guntrue_7829","14520"
"guntrue_8069","14520"
"guntrue_8597","14520"
"guntrue_2467","14518"
"guntrue_2593","14518"
"guntrue_7867","14518"
"guntrue_8009","14518"
"guntrue_8017","14518"
"guntrue_2311","14508"
"guntrue_3697","14497"
"guntrue_9029","14472"
"guntrue_8599","14464"
"guntrue_8807","14464"
"guntrue_3343","14448"
"guntrue_9059","14430"
"guntrue_9371","14430"
"guntrue_5153","14410"
"guntrue_7559","14410"
"guntrue_3851","14399"
"guntrue_2459","14396"
"guntrue_2917","14351"
"guntrue_2927","14351"
"guntrue_2953","14351"
"guntrue_2963","14351"
"guntrue_2969","14351"
"guntrue_6991","14351"
"guntrue_7043","14351"
"guntrue_7103","14351"
"guntrue_7129","14351"
"guntrue_7159","14351"
"guntrue_7211","14351"
"guntrue_7229","14351"
"guntrue_9413","14351"
"guntrue_9439","14351"
"guntrue_9479","14351"
"guntrue_9679","14351"
"guntrue_9719","14351"
"guntrue_9733","14351"
"guntrue_9769","14351"
"guntrue_9839","14351"
"guntrue_9133","14338"
"guntrue_1847","14336"
"guntrue_3319","14336"
"guntrue_4561","14336"
"guntrue_4639","14336"
"guntrue_4651","14336"
"guntrue_4657","14336"
"guntrue_6343","14336"
"guntrue_6361","14336"
"guntrue_2069","14310"
"guntrue_9349","14310"
"guntrue_5237","14300"
"guntrue_3907","14280"
"guntrue_7741","14279"
"guntrue_7901","14279"
"guntrue_8221","14279"
"guntrue_8293","14279"
"guntrue_7937","14278"
"guntrue_2287","14268"
"guntrue_4357","14256"
"guntrue_4327","14238"
"guntrue_4397","14231"
"guntrue_5147","14231"
"guntrue_2111","14224"
"guntrue_6703","14224"
"guntrue_9007","14224"
"guntrue_1823","14208"
"guntrue_1831","14208"
"guntrue_7537","14208"
"guntrue_9467","14190"
"guntrue_9341","14175"
"guntrue_7841","14170"
"guntrue_1889","14160"
"guntrue_3803","14160"
"guntrue_5189","14160"
"guntrue_5197","14160"
"guntrue_2473","14157"
